FIRSTLINE,이상해씨,이상해풀,이상해꽃,파이리,리자드,리자몽,꼬부기,어니부기,거북왕,캐터피,단데기,버터플,뿔충이,딱충이,독침붕,구구,피죤,피죤투,꼬렛,레트라,깨비참,깨비드릴조,아보,아보크,피카츄,라이츄,모래두지,고지,니드런♀,니드리나,니드퀸,니드런♂,니드리노,니드킹,삐삐,픽시,식스테일,나인테일,푸린,푸크린,주뱃,골뱃,뚜벅쵸,냄새꼬,라플레시아,파라스,파라섹트,콘팡,도나리,디그다,닥트리오,나옹,페르시온,고라파덕,골덕,망키,성원숭,가디,윈디,발챙이,슈륙챙이,강챙이,캐이시,윤겔라,후딘,알통몬,근육몬,괴력몬,모다피,우츠동,우츠보트,왕눈해,독파리,꼬마돌,데구리,딱구리,포니타,날쌩마,야돈,야도란,코일,레어코일,파오리,두두,두트리오,쥬쥬,쥬레곤,질퍽이,질뻐기,셀러,파르셀,고오스,고우스트,팬텀,롱스톤,슬리프,슬리퍼,크랩,킹크랩,찌리리공,붐볼,아라리,나시,탕구리,텅구리,시라소몬,홍수몬,내루미,또가스,또도가스,뿔카노,코뿌리,럭키,덩쿠리,캥카,쏘드라,시드라,콘치,왕콘치,별가사리,아쿠스타,마임맨,스라크,루주라,에레브,마그마,쁘사이저,켄타로스,잉어킹,갸라도스,라프라스,메타몽,이브이,샤미드,쥬피썬더,부스터,폴리곤,암나이트,암스타,투구,투구푸스,프테라,잠만보,프리져,썬더,파이어,미뇽,신뇽,망나뇽,뮤츠,뮤,치코리타,베이리프,메가니움,브케인,마그케인,블레이범,리아코,엘리게이,장크로다일,꼬리선,다꼬리,부우부,야부엉,레디바,레디안,페이검,아리아도스,크로뱃,초라기,랜턴,피츄,삐,푸푸린,토게피,토게틱,네이티,네이티오,메리프,보송송,전룡,아르코,마릴,마릴리,꼬지모,왕구리,통통코,두코,솜솜코,에이팜,해너츠,해루미,왕자리,우파,누오,에브이,블래키,니로우,야도킹,무우마,안농,마자용,키링키,피콘,쏘콘,노고치,글라이거,강철톤,블루,그랑블루,침바루,핫삼,단단지,헤라크로스,포푸니,깜지곰,링곰,마그마그,마그카르고,꾸꾸리,메꾸리,코산호,총어,대포무노,딜리버드,만타인,무장조,델빌,헬가,킹드라,코코리,코리갑,폴리곤2,노라키,루브도,배루키,카포에라,뽀뽀라,에레키드,마그비,밀탱크,해피너스,라이코,앤테이,스이쿤,애버라스,데기라스,마기라스,루기아,칠색조,세레비,나무지기,나무돌이,나무킹,아차모,영치코,번치코,물짱이,늪짱이,대짱이,포챠나,그라에나,지그제구리,직구리,개무소,실쿤,뷰티플라이,카스쿤,독케일,연꽃몬,로토스,로파파,도토링,잎새코,다탱구,테일로,스왈로,갈모매,패리퍼,랄토스,킬리아,가디안,비구술,비나방,버섯꼬,버섯모,게을로,발바로,게을킹,토중몬,아이스크,껍질몬,소곤룡,노공룡,폭음룡,마크탕,하리뭉,루리리,코코파스,에나비,델케티,깜까미,입치트,가보리,갱도라,보스로라,요가랑,요가램,썬더라이,썬더볼트,플러시,마이농,볼비트,네오비트,로젤리아,꼴깍몬,꿀꺽몬,샤프니아,샤크니아,고래왕자,고래왕,둔타,폭타,코터스,피그점프,피그킹,얼루기,톱치,비브라바,플라이곤,선인왕,밤선인,파비코,파비코리,쟝고,세비퍼,루나톤,솔록,미꾸리,메깅,가재군,가재장군,오뚝군,점토도리,릴링,릴리요,아노딥스,아말도,빈티나,밀로틱,캐스퐁,켈리몬,어둠대신,다크펫,해골몽,미라몽,트로피우스,치렁,앱솔,마자,눈꼬마,얼음귀신,대굴레오,씨레오,씨카이저,진주몽,헌테일,분홍장이,시라칸,사랑동이,아공이,쉘곤,보만다,메탕,메탕구,메타그로스,레지락,레지아이스,레지스틸,라티아스,라티오스,가이오가,그란돈,레쿠쟈,지라치,테오키스,모부기,수풀부기,토대부기,불꽃숭이,파이숭이,초염몽,팽도리,팽태자,엠페르트,찌르꼬,찌르버드,찌르호크,비버니,비버통,귀뚤뚜기,귀뚤톡크,꼬링크,럭시오,렌트라,꼬몽울,로즈레이드,두개도스,램펄드,방패톱스,바리톱스,도롱충이,도롱마담,나메일,세꿀버리,비퀸,파치리스,브이젤,플로젤,체리버,체리꼬,깝질무,트리토돈,겟핸보숭,흔들풍손,둥실라이드,이어롤,이어롭,무우마직,돈크로우,나옹마,몬냥이,랑딸랑,스컹뿡,스컹탱크,동미러,동탁군,꼬지지,흉내내,핑복,페라페,화강돌,딥상어동,한바이트,한카리아스,먹고자,리오르,루카리오,히포포타스,하마돈,스콜피,드래피온,삐딱구리,독개굴,무스틈니,형광어,네오라이트,타만타,눈쓰개,눈설왕,포푸니라,자포코일,내룸벨트,거대코뿌리,덩쿠림보,에레키블,마그마번,토게키스,메가자리,리피아,글레이시아,글라이온,맘모꾸리,폴리곤Z,엘레이드,대코파스,야느와르몽,눈여아,로토무,유크시,엠라이트,아그놈,디아루가,펄기아,히드런,레지기가스,기라티나,크레세리아,피오네,마나피,다크라이,쉐이미,아르세우스
1,이상해씨,풀,독,118,118,90,379,420,560,701,841,911,981,3 km,20%,10%,덩굴채찍,14,파워휩,41.5,덩굴채찍,14,오물폭탄,41.7
2,이상해풀,풀,독,151,151,120,274,665,886,1108,1330,1441,1552,3 km,10%,7%,덩굴채찍,14,하드플랜트,46.2,잎날가르기,15.6,하드플랜트,46.2
3,이상해꽃,풀,독,198,198,160,101,1100,1467,1834,2201,2385,2568,3 km,5%,5%,덩굴채찍,14,하드플랜트,46.2,잎날가르기,15.6,하드플랜트,46.2
4,파이리,불꽃,NONE,116,96,78,416,356,475,593,712,771,831,3 km,20%,10%,불꽃세례,12,화염방사,38.2,불꽃세례,12,니트로차지,22.1
5,리자드,불꽃,NONE,158,129,116,287,636,847,1060,1272,1378,1484,3 km,10%,7%,불꽃엄니,14.7,화염방사,38.2,불꽃세례,12,화염방사,38.2
6,리자몽,불꽃,비행,223,176,156,89,1151,1535,1918,2302,2494,2686,3 km,5%,5%,회오리불꽃,15.3,블러스트번,40,회오리불꽃,15.3,블러스트번,40
7,꼬부기,물,NONE,94,122,88,420,346,462,577,693,750,808,3 km,20%,10%,거품,12,아쿠아테일,31.6,거품,12,아쿠아테일,31.6
8,어니부기,물,NONE,126,155,118,303,567,756,945,1135,1229,1324,3 km,10%,7%,물대포,12,하이드로펌프,47.3,물대포,12,냉동빔,27.3
9,거북왕,물,NONE,171,210,158,143,982,1309,1637,1964,2128,2291,3 km,5%,5%,물대포,12,하이드로캐논,56.8,물대포,12,하이드로캐논,56.8
10,캐터피,벌레,NONE,55,62,90,484,168,224,280,336,365,393,1 km,50%,20%,벌레먹음,12,발버둥,15.9,벌레먹음,12,발버둥,15.9
11,단데기,벌레,NONE,45,94,100,480,179,239,299,359,389,419,1 km,25%,9%,벌레먹음,12,발버둥,15.9,벌레먹음,12,발버둥,15.9
12,버터플,벌레,비행,167,151,120,251,729,972,1215,1458,1580,1701,1 km,12.5%,6%,염동력,12.5,벌레의야단법석,29.2,염동력,12.5,벌레의야단법석,29.2
13,뿔충이,벌레,독,63,55,80,483,170,227,283,340,368,397,1 km,50%,20%,벌레먹음,12,발버둥,15.9,벌레먹음,12,발버둥,15.9
14,딱충이,벌레,독,46,86,90,485,168,224,280,336,364,392,1 km,25%,9%,벌레먹음,12,발버둥,15.9,벌레먹음,12,발버둥,15.9
15,독침붕,벌레,독,169,150,130,243,761,1015,1269,1523,1650,1777,1 km,12.5%,6%,독찌르기,15,오물폭탄,41.7,엉겨붙기,10.9,오물폭탄,41.7
16,구구,노말,비행,85,76,80,458,248,331,414,497,539,580,1 km,50%,20%,전광석화,12,제비반환,27.5,전광석화,12,제비반환,27.5
17,피죤,노말,비행,117,108,126,355,465,620,775,930,1008,1085,1 km,25%,9%,날개치기,12,제비반환,27.5,날개치기,12,제비반환,27.5
18,피죤투,노말,비행,166,157,166,201,854,1139,1424,1709,1852,1994,1 km,12.5%,6%,에어슬래시,14,폭풍,48.9,에어슬래시,14,제비반환,27.5
19,꼬렛,노말,NONE,103,70,60,457,252,336,420,504,546,588,1 km,50%,20%,전광석화,12,필살앞니,38.4,전광석화,12,필살앞니,38.4
20,레트라,노말,NONE,161,144,110,275,664,885,1106,1328,1439,1549,1 km,20%,7%,전광석화,12,파괴광선,47.4,전광석화,12,파괴광선,47.4
21,깨비참,노말,비행,112,61,80,445,288,385,481,577,625,673,1 km,50%,15%,전광석화,12,불새,48,쪼기,12,불새,48
22,깨비드릴조,노말,비행,182,135,130,237,777,1036,1296,1555,1685,1814,1 km,20%,7%,쪼기,12,불새,48,쪼기,12,불새,48
23,아보,독,NONE,110,102,70,424,333,444,556,667,722,778,3 km,50%,15%,용해액,13.5,오물폭탄,41.7,용해액,13.5,오물폭탄,41.7
24,아보크,독,NONE,167,158,120,248,744,992,1240,1489,1613,1737,3 km,20%,7%,용해액,13.5,더스트슈트,50.3,용해액,13.5,더스트슈트,50.3
25,피카츄,전기,NONE,112,101,70,423,337,450,562,675,731,787,1 km,20%,10%,전기쇼크,10,와일드볼트,41.5,전광석화,10,와일드볼트,41.5
26,라이츄,전기,NONE,193,165,120,197,867,1157,1446,1735,1880,2025,1 km,10%,6%,스파크,10.3,와일드볼트,41.5,볼트체인지,10.4,와일드볼트,41.5
27,모래두지,땅,NONE,126,145,100,327,512,682,853,1023,1109,1194,3 km,50%,10%,머드숏,10,구멍파기,25.5,머드숏,10,구멍파기,25.5
28,고지,땅,NONE,182,202,150,137,997,1330,1663,1995,2161,2328,3 km,20%,6%,메탈크로우,11.4,지진,40,메탈크로우,11.4,땅고르기,27.4
29,니드런♀,독,NONE,86,94,110,431,315,420,525,631,683,736,3 km,50%,15%,독침,10,오물폭탄,41.7,독침,10,오물폭탄,41.7
30,니드리나,독,NONE,117,126,140,321,522,696,870,1044,1131,1218,3 km,25%,7%,독침,10,오물폭탄,41.7,독침,10,오물폭탄,41.7
