미뇽,물타입 포켓몬 10회 진화,물진화10회,물 진화 10회,물진화 10회
얼루기,나이스 커브볼 2회,나이스커브2회,나이스커브볼2회,나이스 커브볼2회
고오스,그레이트 3회,그레이트3회,그레이트 3회
롱스톤,그레이트 3회 연속,그레이트3회 연속,그레이트3회연속,그레이트 3회연속
에버라스,엑셀런트 3회 연속,엑셀런트3회연속,엑셀3회,엑셀 3회 연속
찌리리공,나이스 5회,나이스5회
미뇽,용타입 포획,용타입1마리,용타입 1 마리,용타입 1마리,용타입한마리,용타입 한마리,용타입 한 마리
크랩,물타입 5회 포획,물타입5회,물포켓몬5마리,물포켓몬5회,물 포켓몬 5회,물포켓몬 5회
발챙이/식스테일,날씨부스트 포획 5회
잉어킹,포획 10회
꼬부기/파이리/이상해씨,체육관에서 1회 우승
루주라,체육관 3회 우승
망키,체육관 배틀 1회
알통몬,체육관 배틀 5회
에레브,체육관 배틀에서 효과가 굉장한 차지 기술을 7회 사용
아라리,알 1회 부화
고래왕자,알 2회 부화
마그마,알 3회 부화
럭키,알 5회 부화
대포무노,걸어서 사탕 1개
꼬부기/파이리/이상해씨,포켓몬 5회 강화
이브이,포켓몬 1회 진화
빈티나,포켓몬 교환 1회
